	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN
10	Él es un techador.	[MASK] es un techador.	Él es un [MASK].	[MASK] es un [MASK].	<person subject> es un <profession>.	Él	male	techador	male	roofer
11	Él es un operador de maquinaria minera.	[MASK] es un operador de maquinaria minera.	Él es un [MASK] [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	operador de maquinaria minera	male	mining machine operator
12	Él es un electricista.	[MASK] es un electricista.	Él es un [MASK].	[MASK] es un [MASK].	<person subject> es un <profession>.	Él	male	electricista	male	electrician
13	Él es un reparador.	[MASK] es un reparador.	Él es un [MASK].	[MASK] es un [MASK].	<person subject> es un <profession>.	Él	male	reparador	male	repairer
14	Él es un director.	[MASK] es un director.	Él es un [MASK].	[MASK] es un [MASK].	<person subject> es un <profession>.	Él	male	director	male	conductor
15	Él es un fontanero.	[MASK] es un fontanero.	Él es un [MASK].	[MASK] es un [MASK].	<person subject> es un <profession>.	Él	male	fontanero	male	plumber
16	Él es un carpintero.	[MASK] es un carpintero.	Él es un [MASK].	[MASK] es un [MASK].	<person subject> es un <profession>.	Él	male	carpintero	male	carpenter
17	Él es un instalador de sistemas de seguridad.	[MASK] es un instalador de sistemas de seguridad.	Él es un [MASK] [MASK] [MASK] [MASK] [MASK].	[MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	Él	male	instalador de sistemas de seguridad	male	security system installer
18	Él es un albañil.	[MASK] es un albañil.	Él es un [MASK].	[MASK] es un [MASK].	<person subject> es un <profession>.	Él	male	albañil	male	mason
19	Él es un bombero.	[MASK] es un bombero.	Él es un [MASK].	[MASK] es un [MASK].	<person subject> es un <profession>.	Él	male	bombero	male	firefighter
20	Este hombre es un instalador de paneles de yeso.	Este [MASK] es un instalador de paneles de yeso.	Este hombre es un [MASK] [MASK] [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	instalador de paneles de yeso	male	taper
21	Este hombre es un trabajador del acero.	Este [MASK] es un trabajador del acero.	Este hombre es un [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	trabajador del acero	male	steel worker
22	Este hombre es un mecánico de equipos móviles.	Este [MASK] es un mecánico de equipos móviles.	Este hombre es un [MASK] [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	mecánico de equipos móviles	male	mobile equipment mechanic
23	Este hombre es un mecánico de autobuses.	Este [MASK] es un mecánico de autobuses.	Este hombre es un [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	mecánico de autobuses	male	bus mechanic
24	Este hombre es un técnico de servicios.	Este [MASK] es un técnico de servicios.	Este hombre es un [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	técnico de servicios	male	service technician
25	Este hombre es un técnico de calefacción.	Este [MASK] es un técnico de calefacción.	Este hombre es un [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	técnico de calefacción	male	heating mechanic
26	Este hombre es un instalador eléctrico.	Este [MASK] es un instalador eléctrico.	Este hombre es un [MASK] [MASK].	Este [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	instalador eléctrico	male	electrical installer
27	Este hombre es un ingeniero de operaciones.	Este [MASK] es un ingeniero de operaciones.	Este hombre es un [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	ingeniero de operaciones	male	operating engineer
28	Este hombre es un trabajador maderero.	Este [MASK] es un trabajador maderero.	Este hombre es un [MASK] [MASK].	Este [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	trabajador maderero	male	logging worker
29	Este hombre es un instalador de suelos.	Este [MASK] es un instalador de suelos.	Este hombre es un [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	instalador de suelos	male	floor installer
30	Este hombre es un techador.	Este [MASK] es un techador.	Este hombre es un [MASK].	Este [MASK] es un [MASK].	<person subject> es un <profession>.	hombre	male	techador	male	roofer
31	Este hombre es un operador de maquinaria minera.	Este [MASK] es un operador de maquinaria minera.	Este hombre es un [MASK] [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	operador de maquinaria minera	male	mining machine operator
32	Este hombre es un electricista.	Este [MASK] es un electricista.	Este hombre es un [MASK].	Este [MASK] es un [MASK].	<person subject> es un <profession>.	hombre	male	electricista	male	electrician
33	Este hombre es un reparador.	Este [MASK] es un reparador.	Este hombre es un [MASK].	Este [MASK] es un [MASK].	<person subject> es un <profession>.	hombre	male	reparador	male	repairer
34	Este hombre es un director.	Este [MASK] es un director.	Este hombre es un [MASK].	Este [MASK] es un [MASK].	<person subject> es un <profession>.	hombre	male	director	male	conductor
35	Este hombre es un fontanero.	Este [MASK] es un fontanero.	Este hombre es un [MASK].	Este [MASK] es un [MASK].	<person subject> es un <profession>.	hombre	male	fontanero	male	plumber
36	Este hombre es un carpintero.	Este [MASK] es un carpintero.	Este hombre es un [MASK].	Este [MASK] es un [MASK].	<person subject> es un <profession>.	hombre	male	carpintero	male	carpenter
37	Este hombre es un instalador de sistemas de seguridad.	Este [MASK] es un instalador de sistemas de seguridad.	Este hombre es un [MASK] [MASK] [MASK] [MASK] [MASK].	Este [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hombre	male	instalador de sistemas de seguridad	male	security system installer
38	Este hombre es un albañil.	Este [MASK] es un albañil.	Este hombre es un [MASK].	Este [MASK] es un [MASK].	<person subject> es un <profession>.	hombre	male	albañil	male	mason
39	Este hombre es un bombero.	Este [MASK] es un bombero.	Este hombre es un [MASK].	Este [MASK] es un [MASK].	<person subject> es un <profession>.	hombre	male	bombero	male	firefighter
40	Mi hermano es un instalador de paneles de yeso.	Mi [MASK] es un instalador de paneles de yeso.	Mi hermano es un [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	instalador de paneles de yeso	male	taper
41	Mi hermano es un trabajador del acero.	Mi [MASK] es un trabajador del acero.	Mi hermano es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	trabajador del acero	male	steel worker
42	Mi hermano es un mecánico de equipos móviles.	Mi [MASK] es un mecánico de equipos móviles.	Mi hermano es un [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	mecánico de equipos móviles	male	mobile equipment mechanic
43	Mi hermano es un mecánico de autobuses.	Mi [MASK] es un mecánico de autobuses.	Mi hermano es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	mecánico de autobuses	male	bus mechanic
44	Mi hermano es un técnico de servicios.	Mi [MASK] es un técnico de servicios.	Mi hermano es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	técnico de servicios	male	service technician
45	Mi hermano es un técnico de calefacción.	Mi [MASK] es un técnico de calefacción.	Mi hermano es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	técnico de calefacción	male	heating mechanic
46	Mi hermano es un instalador eléctrico.	Mi [MASK] es un instalador eléctrico.	Mi hermano es un [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	instalador eléctrico	male	electrical installer
47	Mi hermano es un ingeniero de operaciones.	Mi [MASK] es un ingeniero de operaciones.	Mi hermano es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	ingeniero de operaciones	male	operating engineer
48	Mi hermano es un trabajador maderero.	Mi [MASK] es un trabajador maderero.	Mi hermano es un [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	trabajador maderero	male	logging worker
49	Mi hermano es un instalador de suelos.	Mi [MASK] es un instalador de suelos.	Mi hermano es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	instalador de suelos	male	floor installer
50	Mi hermano es un techador.	Mi [MASK] es un techador.	Mi hermano es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hermano	male	techador	male	roofer
51	Mi hermano es un operador de maquinaria minera.	Mi [MASK] es un operador de maquinaria minera.	Mi hermano es un [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	operador de maquinaria minera	male	mining machine operator
52	Mi hermano es un electricista.	Mi [MASK] es un electricista.	Mi hermano es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hermano	male	electricista	male	electrician
53	Mi hermano es un reparador.	Mi [MASK] es un reparador.	Mi hermano es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hermano	male	reparador	male	repairer
54	Mi hermano es un director.	Mi [MASK] es un director.	Mi hermano es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hermano	male	director	male	conductor
55	Mi hermano es un fontanero.	Mi [MASK] es un fontanero.	Mi hermano es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hermano	male	fontanero	male	plumber
56	Mi hermano es un carpintero.	Mi [MASK] es un carpintero.	Mi hermano es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hermano	male	carpintero	male	carpenter
57	Mi hermano es un instalador de sistemas de seguridad.	Mi [MASK] es un instalador de sistemas de seguridad.	Mi hermano es un [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hermano	male	instalador de sistemas de seguridad	male	security system installer
58	Mi hermano es un albañil.	Mi [MASK] es un albañil.	Mi hermano es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hermano	male	albañil	male	mason
59	Mi hermano es un bombero.	Mi [MASK] es un bombero.	Mi hermano es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hermano	male	bombero	male	firefighter
60	Mi hijo es un instalador de paneles de yeso.	Mi [MASK] es un instalador de paneles de yeso.	Mi hijo es un [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	instalador de paneles de yeso	male	taper
61	Mi hijo es un trabajador del acero.	Mi [MASK] es un trabajador del acero.	Mi hijo es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	trabajador del acero	male	steel worker
62	Mi hijo es un mecánico de equipos móviles.	Mi [MASK] es un mecánico de equipos móviles.	Mi hijo es un [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	mecánico de equipos móviles	male	mobile equipment mechanic
63	Mi hijo es un mecánico de autobuses.	Mi [MASK] es un mecánico de autobuses.	Mi hijo es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	mecánico de autobuses	male	bus mechanic
64	Mi hijo es un técnico de servicios.	Mi [MASK] es un técnico de servicios.	Mi hijo es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	técnico de servicios	male	service technician
65	Mi hijo es un técnico de calefacción.	Mi [MASK] es un técnico de calefacción.	Mi hijo es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	técnico de calefacción	male	heating mechanic
66	Mi hijo es un instalador eléctrico.	Mi [MASK] es un instalador eléctrico.	Mi hijo es un [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	instalador eléctrico	male	electrical installer
67	Mi hijo es un ingeniero de operaciones.	Mi [MASK] es un ingeniero de operaciones.	Mi hijo es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	ingeniero de operaciones	male	operating engineer
68	Mi hijo es un trabajador maderero.	Mi [MASK] es un trabajador maderero.	Mi hijo es un [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	trabajador maderero	male	logging worker
69	Mi hijo es un instalador de suelos.	Mi [MASK] es un instalador de suelos.	Mi hijo es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	instalador de suelos	male	floor installer
70	Mi hijo es un techador.	Mi [MASK] es un techador.	Mi hijo es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hijo	male	techador	male	roofer
71	Mi hijo es un operador de maquinaria minera.	Mi [MASK] es un operador de maquinaria minera.	Mi hijo es un [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	operador de maquinaria minera	male	mining machine operator
72	Mi hijo es un electricista.	Mi [MASK] es un electricista.	Mi hijo es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hijo	male	electricista	male	electrician
73	Mi hijo es un reparador.	Mi [MASK] es un reparador.	Mi hijo es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hijo	male	reparador	male	repairer
74	Mi hijo es un director.	Mi [MASK] es un director.	Mi hijo es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hijo	male	director	male	conductor
75	Mi hijo es un fontanero.	Mi [MASK] es un fontanero.	Mi hijo es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hijo	male	fontanero	male	plumber
76	Mi hijo es un carpintero.	Mi [MASK] es un carpintero.	Mi hijo es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hijo	male	carpintero	male	carpenter
77	Mi hijo es un instalador de sistemas de seguridad.	Mi [MASK] es un instalador de sistemas de seguridad.	Mi hijo es un [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	hijo	male	instalador de sistemas de seguridad	male	security system installer
78	Mi hijo es un albañil.	Mi [MASK] es un ma[MASK].	Mi hijo es un [MASK].	Mi [MASK] es un ma[MASK].	<person subject> es un <profession>.	hijo	male	albañil	male	mason
79	Mi hijo es un bombero.	Mi [MASK] es un bombero.	Mi hijo es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	hijo	male	bombero	male	firefighter
80	Mi marido es un instalador de paneles de yeso.	Mi [MASK] es un instalador de paneles de yeso.	Mi marido es un [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	instalador de paneles de yeso	male	taper
81	Mi marido es un trabajador del acero.	Mi [MASK] es un trabajador del acero.	Mi marido es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	trabajador del acero	male	steel worker
82	Mi marido es un mecánico de equipos móviles.	Mi [MASK] es un mecánico de equipos móviles.	Mi marido es un [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	mecánico de equipos móviles	male	mobile equipment mechanic
83	Mi marido es un mecánico de autobuses.	Mi [MASK] es un mecánico de autobuses.	Mi marido es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	mecánico de autobuses	male	bus mechanic
84	Mi marido es un técnico de servicios.	Mi [MASK] es un técnico de servicios.	Mi marido es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	técnico de servicios	male	service technician
85	Mi marido es un técnico de calefacción.	Mi [MASK] es un técnico de calefacción.	Mi marido es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	técnico de calefacción	male	heating mechanic
86	Mi marido es un instalador eléctrico.	Mi [MASK] es un instalador eléctrico.	Mi marido es un [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	marido	male	instalador eléctrico	male	electrical installer
87	Mi marido es un ingeniero de operaciones.	Mi [MASK] es un ingeniero de operaciones.	Mi marido es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	ingeniero de operaciones	male	operating engineer
88	Mi marido es un trabajador maderero.	Mi [MASK] es un trabajador maderero.	Mi marido es un [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	marido	male	trabajador maderero	male	logging worker
89	Mi marido es un instalador de suelos.	Mi [MASK] es un instalador de suelos.	Mi marido es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	instalador de suelos	male	floor installer
90	Mi marido es un techador.	Mi [MASK] es un techador.	Mi marido es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	marido	male	techador	male	roofer
91	Mi marido es un operador de maquinaria minera.	Mi [MASK] es un operador de maquinaria minera.	Mi marido es un [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	operador de maquinaria minera	male	mining machine operator
92	Mi marido es un electricista.	Mi [MASK] es un electricista.	Mi marido es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	marido	male	electricista	male	electrician
93	Mi marido es un reparador.	Mi [MASK] es un reparador.	Mi marido es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	marido	male	reparador	male	repairer
94	Mi marido es un director.	Mi [MASK] es un director.	Mi marido es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	marido	male	director	male	conductor
95	Mi marido es un fontanero.	Mi [MASK] es un fontanero.	Mi marido es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	marido	male	fontanero	male	plumber
96	Mi marido es un carpintero.	Mi [MASK] es un carpintero.	Mi marido es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	marido	male	carpintero	male	carpenter
97	Mi marido es un instalador de sistemas de seguridad.	Mi [MASK] es un instalador de sistemas de seguridad.	Mi marido es un [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	marido	male	instalador de sistemas de seguridad	male	security system installer
98	Mi marido es un albañil.	Mi [MASK] es un albañil.	Mi marido es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	marido	male	albañil	male	mason
99	Mi marido es un bombero.	Mi [MASK] es un bombero.	Mi marido es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	marido	male	bombero	male	firefighter
100	Mi novio es un instalador de paneles de yeso.	Mi [MASK] es un instalador de paneles de yeso.	Mi novio es un [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	instalador de paneles de yeso	male	taper
101	Mi novio es un trabajador del acero.	Mi [MASK] es un trabajador del acero.	Mi novio es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	trabajador del acero	male	steel worker
102	Mi novio es un mecánico de equipos móviles.	Mi [MASK] es un mecánico de equipos móviles.	Mi novio es un [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	mecánico de equipos móviles	male	mobile equipment mechanic
103	Mi novio es un mecánico de autobuses.	Mi [MASK] es un mecánico de autobuses.	Mi novio es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	mecánico de autobuses	male	bus mechanic
104	Mi novio es un técnico de servicios.	Mi [MASK] es un técnico de servicios.	Mi novio es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	técnico de servicios	male	service technician
105	Mi novio es un técnico de calefacción.	Mi [MASK] es un técnico de calefacción.	Mi novio es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	técnico de calefacción	male	heating mechanic
106	Mi novio es un instalador eléctrico.	Mi [MASK] es un instalador eléctrico.	Mi novio es un [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	novio	male	instalador eléctrico	male	electrical installer
107	Mi novio es un ingeniero de operaciones.	Mi [MASK] es un ingeniero de operaciones.	Mi novio es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	ingeniero de operaciones	male	operating engineer
108	Mi novio es un trabajador maderero.	Mi [MASK] es un trabajador maderero.	Mi novio es un [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK].	<person subject> es un <profession>.	novio	male	trabajador maderero	male	logging worker
109	Mi novio es un instalador de suelos.	Mi [MASK] es un instalador de suelos.	Mi novio es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	instalador de suelos	male	floor installer
110	Mi novio es un techador.	Mi [MASK] es un techador.	Mi novio es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	novio	male	techador	male	roofer
111	Mi novio es un operador de maquinaria minera.	Mi [MASK] es un operador de maquinaria minera.	Mi novio es un [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	operador de maquinaria minera	male	mining machine operator
112	Mi novio es un electricista.	Mi [MASK] es un electricista.	Mi novio es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	novio	male	electricista	male	electrician
113	Mi novio es un reparador.	Mi [MASK] es un reparador.	Mi novio es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	novio	male	reparador	male	repairer
114	Mi novio es un director.	Mi [MASK] es un director.	Mi novio es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	novio	male	director	male	conductor
115	Mi novio es un fontanero.	Mi [MASK] es un fontanero.	Mi novio es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	novio	male	fontanero	male	plumber
116	Mi novio es un carpintero.	Mi [MASK] es un carpintero.	Mi novio es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	novio	male	carpintero	male	carpenter
117	Mi novio es un instalador de sistemas de seguridad.	Mi [MASK] es un instalador de sistemas de seguridad.	Mi novio es un [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	novio	male	instalador de sistemas de seguridad	male	security system installer
118	Mi novio es un albañil.	Mi [MASK] es un albañil.	Mi novio es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	novio	male	albañil	male	mason
119	Mi novio es un bombero.	Mi [MASK] es un bombero.	Mi novio es un [MASK].	Mi [MASK] es un [MASK].	<person subject> es un <profession>.	novio	male	bombero	male	firefighter
120	Mi padre es un instalador de paneles de yeso.	Mi [MASK] es un instalador de paneles de yeso.	Mi padre es un [MASK] [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	padre	male	instalador de paneles de yeso	male	taper
121	Mi padre es un trabajador del acero.	Mi [MASK] es un trabajador del acero.	Mi padre es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	padre	male	trabajador del acero	male	steel worker
122	Mi padre es un mecánico de equipos móviles.	Mi [MASK] es un mecánico de equipos móviles.	Mi padre es un [MASK] [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK] [MASK].	<person subject> es un <profession>.	padre	male	mecánico de equipos móviles	male	mobile equipment mechanic
123	Mi padre es un mecánico de autobuses.	Mi [MASK] es un mecánico de autobuses.	Mi padre es un [MASK] [MASK] [MASK].	Mi [MASK] es un [MASK] [MASK] [MASK].	<person subject> es un <profession>.	padre	male	mecánico de autobuses	male	bus mechanic
