	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Persemeak	Gender	Profession	Prof_Gender	Profession_EN
83	Nire senarra autobus mekanikaria da.	Nire [MASK] autobus mekanikaria da.	Nire senarra [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	autobus mekanikaria	male	bus mechanic
84	Nire senarra auto mekanikaria da.	Nire [MASK] auto mekanikaria da.	Nire senarra [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	auto mekanikaria	male	service technician
85	Nire senarra berogailu-teknikaria da.	Nire [MASK] berogailu-teknikaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	berogailu-teknikaria	male	heating mechanic
86	Nire senarra instalatzaile-elektrikoa da.	Nire [MASK] instalatzaile-elektrikoa da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	instalatzaile-elektrikoa	male	electrical installer
87	Nire senarra eraikuntza ekipoen operadorea da.	Nire [MASK] eraikuntza ekipoen operadorea da.	Nire senarra [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	eraikuntza ekipoen operadorea	male	operating engineer
88	Nire senarra egurketaria da.	Nire [MASK] egurketaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	egurketaria	male	logging worker
89	Nire senarra zoru-instalatzailea da.	Nire [MASK] zoru-instalatzailea da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	zoru-instalatzailea	male	floor installer
90	Nire senarra teilatu-emailea da.	Nire [MASK] teilatu-emailea da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	teilatu-emailea	male	roofer
91	Nire senarra meatzaritzako makina-operadorea da.	Nire [MASK] meatzaritzako makina-operadorea da.	Nire senarra [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	meatzaritzako makina-operadorea	male	mining machine operator
92	Nire senarra elektrizista da.	Nire [MASK] elektrizista da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	elektrizista	male	electrician
93	Nire senarra karrozaegilea da.	Nire [MASK] karrozaegilea da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	karrozaegilea	male	repairer
94	Nire senarra tren-gidaria da.	Nire [MASK] tren-gidaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	tren-gidaria	male	conductor
95	Nire senarra iturgina da.	Nire [MASK] iturgina da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	iturgina	male	plumber
96	Nire senarra arotza da.	Nire [MASK] arotza da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	arotza	male	carpenter
97	Nire senarra segurtasun sistemako instalatzailea da.	Nire [MASK] segurtasun sistemako instalatzailea da.	Nire senarra [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	segurtasun sistemako instalatzailea	male	security system installer
98	Nire senarra igeltseroa da.	Nire [MASK] igeltseroa da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	igeltseroa	male	mason
99	Nire senarra suhiltzailea da.	Nire [MASK] suhiltzailea da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	suhiltzailea	male	firefighter
100	Nire senargaia igeltsuzko panel instalatzailea da.	Nire [MASK] igeltsuzko panel instalatzailea da.	Nire senargaia [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	igeltsuzko panel instalatzailea	male	taper
101	Nire senargaia altzairu langilea da.	Nire [MASK] altzairu langilea da.	Nire senargaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	altzairu langilea	male	steel worker
102	Nire senargaia ekipamendu mugikorreko mekanikaria da.	Nire [MASK] ekipamendu mugikorreko mekanikaria da.	Nire senargaia [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	ekipamendu mugikorreko mekanikaria	male	mobile equipment mechanic
103	Nire senargaia autobus mekanikaria da.	Nire [MASK] autobus mekanikaria da.	Nire senargaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	autobus mekanikaria	male	bus mechanic
104	Nire senargaia auto mekanikaria da.	Nire [MASK] auto mekanikaria da.	Nire senargaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	auto mekanikaria	male	service technician
105	Nire senargaia berogailu-teknikaria da.	Nire [MASK] berogailu-teknikaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	berogailu-teknikaria	male	heating mechanic
106	Nire senargaia instalatzaile-elektrikoa da.	Nire [MASK] instalatzaile-elektrikoa da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	instalatzaile-elektrikoa	male	electrical installer
107	Nire senargaia eraikuntza ekipoen operadorea da.	Nire [MASK] eraikuntza ekipoen operadorea da.	Nire senargaia [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	eraikuntza ekipoen operadorea	male	operating engineer
108	Nire senargaia egurketaria da.	Nire [MASK] egurketaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	egurketaria	male	logging worker
109	Nire senargaia zoru-instalatzailea da.	Nire [MASK] zoru-instalatzailea da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	zoru-instalatzailea	male	floor installer
110	Nire senargaia teilatu-emailea da.	Nire [MASK] teilatu-emailea da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	teilatu-emailea	male	roofer
111	Nire senargaia meatzaritzako makina-operadorea da.	Nire [MASK] meatzaritzako makina-operadorea da.	Nire senargaia [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	meatzaritzako makina-operadorea	male	mining machine operator
112	Nire senargaia elektrizista da.	Nire [MASK] elektrizista da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	elektrizista	male	electrician
113	Nire senargaia karrozaegilea da.	Nire [MASK] karrozaegilea da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	karrozaegilea	male	repairer
114	Nire senargaia tren-gidaria da.	Nire [MASK] tren-gidaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	tren-gidaria	male	conductor
115	Nire senargaia iturgina da.	Nire [MASK] iturgina da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	iturgina	male	plumber
116	Nire senargaia arotza da.	Nire [MASK] arotza da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	arotza	male	carpenter
117	Nire senargaia segurtasun sistemako instalatzailea da.	Nire [MASK] segurtasun sistemako instalatzailea da.	Nire senargaia [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	segurtasun sistemako instalatzailea	male	security system installer
118	Nire senargaia igeltseroa da.	Nire [MASK] igeltseroa da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	igeltseroa	male	mason
119	Nire senargaia suhiltzailea da.	Nire [MASK] suhiltzailea da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	suhiltzailea	male	firefighter
120	Nire aita igeltsuzko panel instalatzailea da.	Nire [MASK] igeltsuzko panel instalatzailea da.	Nire aita [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	igeltsuzko panel instalatzailea	male	taper
121	Nire aita altzairu langilea da.	Nire [MASK] altzairu langilea da.	Nire aita [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	altzairu langilea	male	steel worker
122	Nire aita ekipamendu mugikorreko mekanikaria da.	Nire [MASK] ekipamendu mugikorreko mekanikaria da.	Nire aita [MASK] [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	ekipamendu mugikorreko mekanikaria	male	mobile equipment mechanic
123	Nire aita autobus mekanikaria da.	Nire [MASK] autobus mekanikaria da.	Nire aita [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	autobus mekanikaria	male	bus mechanic
124	Nire aita auto mekanikaria da.	Nire [MASK] auto mekanikaria da.	Nire aita [MASK] [MASK] da.	Nire [MASK] [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	auto mekanikaria	male	service technician
